,no,case_number,type,city,district,neighborhood,address_number,apartment_block,floor,room,apartment_name,full_address,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,image
21,100,2022-107982(1),아파트,서울특별시,동대문구,답십리동,1014,107동,4.0,404,답십리파크자이,"서울특별시 동대문구 답십리동 1014 107동 4층404호 (답십리동,답십리파크자이)",2023-08-02,64,매각,2,1,947,1,76,9,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/107982/137501.jpg
22,101,2022-109735(1),아파트,서울특별시,도봉구,쌍문동,639-1,,3.0,302,아파트,"서울특별시 도봉구 쌍문동 639-1 3층302호 (쌍문동,아파트)",2023-08-02,80,매각,1,324,259,291,90,3,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/109735/149379.jpg
23,102,2022-1677(1),아파트,서울특별시,은평구,대조동,89-258,,3.0,305,디안아파트,"서울특별시 은평구 대조동 89-258 3층305호 (대조동,디안아파트)",2023-08-01,2,매각,3,320,163,191,60,3,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/1677/84124.jpg
24,103,2022-2434(1),아파트,서울특별시,서대문구,홍은동,188-72,,8.0,802,,서울특별시 서대문구 홍은동 188-72 8층802호,2023-08-01,80,매각,1,722,577,660,91,3,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/2434/39609_AUTO_62.jpg
25,104,2022-54879(1),아파트,서울특별시,서대문구,홍제동,469,,11.0,1105,인왕산 한신휴플러스,"서울특별시 서대문구 홍제동 469 11층1105호 (홍제동,인왕산 한신휴플러스)",2023-08-01,64,매각,2,1,682,878,82,17,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/54879/104350.jpg
26,105,2022-55629(1),아파트,서울특별시,용산구,104동,4,,,404,한강로우림필유아파트,"서울특별시 용산구 한강로3가 91 104동 4층404호 (한강로3가,한강로우림필유아파트)",2023-08-01,80,매각,1,1,1,1,86,1,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/55629/13584.jpg
27,106,2022-56103(1),아파트,서울특별시,서대문구,홍제동,132-5,,6.0,604,에이원아파트,서울특별시 서대문구 홍제동 132-5외 1필지 에이원아파트 제6층 제604호,2023-08-01,100,매각,0,451,451,482,107,2,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/56103/536631.jpg
28,107,2022-56936(1),아파트,서울특별시,마포구,상암동,1637,201동,13.0,1306,상암월드컵파크2단지,"서울특별시 마포구 상암동 1637 201동 13층1306호 (상암동,상암월드컵파크2단지)",2023-08-01,64,매각,2,510,326,385,76,7,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/56936/81564.jpg
29,108,2022-57458(1),아파트,서울특별시,마포구,신수동,462,105동,5.0,504,신촌숲아이파크,"서울특별시 마포구 신수동 462 105동 5층504호 (신수동,신촌숲아이파크)",2023-08-01,80,매각,1,1,1,1,90,8,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/57458/49959_AUTO_71.jpg
30,109,2023-107(1),아파트,서울특별시,마포구,신수동,462,105동,5.0,504,신촌숲아이파크,"서울특별시 마포구 신수동 462 105동 5층504호 (신수동,신촌숲아이파크)",2023-08-01,80,매각,1,1,1,1,80,1,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2023/107/147302.jpg
31,110,2022-105207(1),아파트,서울특별시,도봉구,방학동,740,103동,3.0,304,동양크레오아파트,"서울특별시 도봉구 방학동 740 103동 3층304호 (방학동,동양크레오아파트)",2023-08-01,64,매각,2,588,376,464,79,1,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/105207/126808.jpg
32,111,2022-2469(1),아파트,서울특별시,성북구,길음동,1278,109동,1.0,103,동부센트레빌아파트,"서울특별시 성북구 길음동 1278 109동 1층103호 (길음동,동부센트레빌아파트)",2023-07-26,64,매각,2,840,537,627,75,4,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/2469/70469.jpg
33,112,2022-2537(1),아파트,서울특별시,노원구,상계동,1068,,3.0,305,상계5지역중앙하이츠아파트,"서울특별시 노원구 상계동 1068 3층305호 (상계동,상계5지역중앙하이츠아파트)",2023-07-26,64,매각,2,500,320,380,76,4,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/2537/70391.jpg
34,113,2022-3028(1),아파트,서울특별시,동대문구,휘경동,365,106동,6.0,601,휘경동일하이빌,"서울특별시 동대문구 휘경동 365 106동 6층601호 (휘경동,휘경동일하이빌)",2023-07-26,64,매각,2,152,97,118,78,1,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/3028/1239883.jpg
35,114,2022-3097(1),아파트,서울특별시,노원구,월계동,320-11,301동,12.0,1206,월계3단지사슴아파트,"서울특별시 노원구 월계동 320-11 301동 12층1206호 (월계동,월계3단지사슴아파트)",2023-07-26,64,매각,2,464,296,351,76,11,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/3097/05423_AUTO_38.jpg
36,115,2022-105610(1),아파트,서울특별시,노원구,상계동,637,1301동,9.0,905,상계주공아파트,"서울특별시 노원구 상계동 637 1301동 9층905호 (상계동,상계주공아파트)",2023-07-26,2,매각,3,568,290,374,66,19,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/105610/65106.jpg
37,116,2022-108749(1),아파트,서울특별시,노원구,하계동,271-3,5동,13.0,1303,건영아파트,"서울특별시 노원구 하계동 271-3 5동 13층1303호 (하계동,건영아파트)",2023-07-26,80,매각,1,190,152,156,82,1,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/108749/172138.jpg
38,117,2023-101326(1),아파트,서울특별시,강남구,대치동,65,8동,9.0,908,쌍용대치아파트,서울특별시 강남구 대치동 65 쌍용대치아파트 제8동 제9층 제908호,2023-07-25,100,매각,0,2,2,2,100,1,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101326/144245.jpg
39,118,2023-101449(1),아파트,서울특별시,강남구,대치동,65,8동,9.0,908,쌍용대치아파트,서울특별시 강남구 대치동 65 쌍용대치아파트 제8동 제9층 제908호,2023-07-25,80,매각,1,1,1,1,91,5,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101449/12392.jpg
40,119,2023-102404(1),아파트,서울특별시,강남구,대치동,65,8동,9.0,908,쌍용대치아파트,서울특별시 강남구 대치동 65 쌍용대치아파트 제8동 제9층 제908호,2023-07-25,80,매각,1,1,824,869,84,1,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/102404/56812_AUTO_24.jpg
41,120,2022-2803(1),아파트,서울특별시,강북구,미아동,813,107동,10.0,1002,래미안트리베라1차,"서울특별시 강북구 미아동 813 107동 10층1002호 (미아동,래미안트리베라1차)",2023-07-25,64,매각,2,1,648,750,74,20,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/2803/1132185.jpg
42,121,2022-107463(1),아파트,서울특별시,노원구,공릉동,745,106동,23.0,2303,동신아파트,"서울특별시 노원구 공릉동 745 106동 23층2303호 (공릉동,동신아파트)",2023-07-25,64,매각,2,659,421,508,77,18,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/107463/14373_AUTO_49.jpg
43,122,2022-107678(1),아파트,서울특별시,성북구,정릉동,239,103동,10.0,1002,정릉풍림아이원,"서울특별시 성북구 정릉동 239 103동 10층1002호 (정릉동,정릉풍림아이원)",2023-07-25,64,매각,2,816,522,574,70,2,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/107678/902538.jpg
44,123,2021-2763(1),아파트,서울특별시,송파구,가락동,95,102동,10.0,1001,가락동부센트레빌,"서울특별시 송파구 가락동 95 102동 10층1001호 (가락동,가락동부센트레빌)",2023-07-24,80,매각,1,1,1,1,100,3,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2021/2763/810537.jpg
45,124,2021-53914(1),아파트,서울특별시,강동구,암사동,413,118동,25.0,2501,프라이어팰리스,"서울특별시 강동구 암사동 413 118동 25층2501호 (암사동,프라이어팰리스)",2023-07-24,80,매각,1,1,997,1,88,14,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2021/53914/809707.jpg
46,125,2022-110446(1),아파트,서울특별시,서초구,반포동,1092,9동,2.0,201,,서울특별시 서초구 반포동 1092외 3필지 에이아이디차관주택 제9동 제2층 제201호,2023-07-20,64,매각,2,2,1,2,81,1,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/110446/114885.jpg
47,126,2022-113063(1),아파트,서울특별시,관악구,신림동,1727,102동,19.0,1902,임광관악파크,"서울특별시 관악구 신림동 1727 102동 19층1902호 (신림동,임광관악파크)",2023-07-20,64,매각,2,624,399,451,72,10,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/113063/99096.jpg
48,127,2023-201(1),아파트,서울특별시,관악구,신림동,1727,102동,19.0,1902,임광관악파크,"서울특별시 관악구 신림동 1727 102동 19층1902호 (신림동,임광관악파크)",2023-07-20,80,매각,1,1,904,989,88,3,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/201/533611.jpg
49,128,2023-100613(1),아파트,서울특별시,관악구,신림동,1727,102동,19.0,1902,임광관악파크,"서울특별시 관악구 신림동 1727 102동 19층1902호 (신림동,임광관악파크)",2023-07-20,80,매각,1,1,1,1,86,1,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/100613/475469.jpg
50,129,2023-100774(1),아파트,서울특별시,관악구,신림동,1727,102동,19.0,1902,임광관악파크,"서울특별시 관악구 신림동 1727 102동 19층1902호 (신림동,임광관악파크)",2023-07-20,80,매각,1,2,2,2,90,8,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/100774/475460.jpg
51,130,2023-101357(1),아파트,서울특별시,관악구,신림동,1727,102동,19.0,1902,임광관악파크,"서울특별시 관악구 신림동 1727 102동 19층1902호 (신림동,임광관악파크)",2023-07-20,80,매각,1,1,961,1,94,10,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101357/475442.jpg
52,131,2023-101845(1),아파트,서울특별시,관악구,신림동,1727,102동,19.0,1902,임광관악파크,"서울특별시 관악구 신림동 1727 102동 19층1902호 (신림동,임광관악파크)",2023-07-20,80,매각,1,896,716,850,95,4,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101845/478248.jpg
53,132,2022-111791(1),아파트,서울특별시,서초구,잠원동,157,108동,1.0,104,동아아파트,"서울특별시 서초구 잠원동 157 108동 1층104호 (잠원동,동아아파트)",2023-07-19,80,매각,1,2,1,2,93,11,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/111791/145537.jpg
54,133,2022-111814(1),아파트,서울특별시,동작구,본동,494,103동,4.0,401,래미안트윈파크,"서울특별시 동작구 본동 494 103동 4층401호 (본동,래미안트윈파크)",2023-07-19,80,잔금납부,1,1,1,1,86,7,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/111814/145201.jpg
55,134,2022-111210(1),아파트,서울특별시,서초구,반포동,107-52,,3.0,302,브리앙뜨,"서울특별시 서초구 반포동 107-52 3층302호 (반포동,브리앙뜨)",2023-07-18,64,잔금납부,2,2,1,1,72,5,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/111210/1022486.jpg
56,135,2023-101579(1),아파트,서울특별시,서초구,반포동,107-52,,3.0,302,브리앙뜨,"서울특별시 서초구 반포동 107-52 3층302호 (반포동,브리앙뜨)",2023-07-18,80,매각,1,3,2,3,93,5,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101579/533587.jpg
57,136,2023-102732(1),아파트,서울특별시,서초구,반포동,107-52,,3.0,302,브리앙뜨,"서울특별시 서초구 반포동 107-52 3층302호 (반포동,브리앙뜨)",2023-07-18,80,매각,1,973,778,863,89,14,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/102732/543334.jpg
58,137,2021-56755(1),아파트,서울특별시,마포구,상암동,1752,901동,12.0,1202,상암월드컵파크9단지,"서울특별시 마포구 상암동 1752 901동 12층1202호 (상암동,상암월드컵파크9단지)",2023-07-18,64,매각,2,1,727,855,75,15,http://img1.speedauction.co.kr/new_gamimg/2022/A03/2021/56755/50077_AUTO_363.jpg
59,138,2022-54893(1),아파트,서울특별시,용산구,나동,,,,,풍전아파트,서울특별시 용산구 원효로4가 110-1 나동호 풍전아파트,2023-07-18,80,매각,1,1,920,926,81,1,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/54893/150550.jpg
60,139,2022-55728(1),아파트,서울특별시,용산구,한남동,807,106동,12.0,1205,한남힐스테이트,"서울특별시 용산구 한남동 807 106동 12층 1205호 (한남동,한남힐스테이트)",2023-07-18,100,매각,0,1,1,1,100,1,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/55728/176905.jpg
61,140,2022-55780(1),아파트,서울특별시,서대문구,홍제동,463,104동,2.0,204,문화촌현대아파트,"서울특별시 서대문구 홍제동 463 104동 2층 204호 (홍제동,문화촌현대아파트)",2023-07-18,64,매각,2,677,433,531,78,10,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/55780/176911.jpg
62,141,2022-56066(1),아파트,서울특별시,은평구,진관동,62,101동,9.0,904,은평스카이뷰자이,"서울특별시 은평구 진관동 62 101동 9층904호 (진관동,은평스카이뷰자이)",2023-07-18,64,매각,2,1,806,850,68,2,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/56066/179510.jpg
63,142,2022-57779(1),아파트,서울특별시,용산구,이촌동,430,108동,17.0,1703,엘지한강자이아파트,서울특별시 용산구 이촌동 430외 2필지 엘지한강자이아파트 제108동 제17층 제1703호,2023-07-18,100,잔금납부,0,3,3,4,114,4,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/57779/168818.jpg
64,143,2022-399(1),아파트,서울특별시,강동구,암사동,508,104동,10.0,1004,삼성광나루아파트,"서울특별시 강동구 암사동 508 104동 10층1004호 (암사동,삼성광나루아파트)",2023-07-17,64,잔금납부,2,229,146,162,71,2,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/399/16091_AUTO_62.jpg
65,144,2022-474(1),아파트,서울특별시,송파구,송파동,58-4,,5.0,502,레이크 해모로,"서울특별시 송파구 송파동 58-4 5층502호 (송파동,레이크 해모로)",2023-07-17,2,잔금납부,3,1,731,1,71,48,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/474/KakaoTalk_Snapshot_20230706_180106_1688634191.png
66,145,2022-50974(1),아파트,서울특별시,송파구,가락동,913,206동,7.0,701,헬리오시티,"서울특별시 송파구 가락동 913 206동 7층701호 (가락동,헬리오시티)",2023-07-17,64,잔금납부,2,2,1,1,79,27,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/50974/677066.jpg
67,146,2022-3876(1),아파트,서울특별시,중구,신당동,841-13,,4.0,402,청구아파트,"서울특별시 중구 신당동 841-13 4층402호 (신당동,청구아파트)",2023-07-12,80,잔금납부,1,365,292,335,92,7,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/3876/519784.jpg
68,147,2022-106690(1),아파트,서울특별시,관악구,봉천동,1730-1,201동,11.0,1102,이편한세상서울대입구2단지,"서울특별시 관악구 봉천동 1730-1 201동 11층1102호 (봉천동,이편한세상서울대입구2단지)",2023-07-12,64,잔금납부,2,1,1,1,70,4,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/106690/122794.jpg
69,148,2022-110279(1),아파트,서울특별시,서초구,잠원동,70,201동,9.0,906,신반포아파트,"서울특별시 서초구 잠원동 70 201동 9층906호 (잠원동,신반포아파트)",2023-07-12,64,매각,2,3,2,2,77,9,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/110279/123976.jpg
70,149,2022-110972(1),아파트,서울특별시,강남구,역삼동,826-37,,6.0,601,쌍용플래티넘밸류,"서울특별시 강남구 역삼동 826-37 6층102-601호 (역삼동,쌍용플래티넘밸류)",2023-07-12,80,잔금납부,1,1,1,1,105,7,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/110972/405684.jpg
71,150,2022-1739(1),아파트,서울특별시,금천구,독산동,1088,1404동,6.0,611,,서울특별시 금천구 독산동 1088 제1404동 제6층 제611호,2023-07-12,64,잔금납부,2,98,63,68,70,2,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/1739/432018.jpg
72,151,2022-107088(1),아파트,서울특별시,구로구,신도림동,642,102동,17.0,1704,신도림대림아파트,"서울특별시 구로구 신도림동 642 제102동 제17층 제1704호 (신도림동, 신도림대림아파트)",2023-07-12,64,매각,2,1,820,951,74,9,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/107088/473747.jpg
73,152,2022-112127(1),아파트,서울특별시,양천구,신정동,1293,105동,10.0,1006,학마을아파트,"서울특별시 양천구 신정동 1293 제105동 제10층 제1006호 (신정동, 학마을아파트)",2023-07-12,64,매각,2,671,429,485,72,4,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/112127/474091.jpg
74,153,2022-51380(1),아파트,서울특별시,성동구,금호동,1,303동,2.0,201,금호삼성래미안아파트,"서울특별시 성동구 금호동1가 1500 303동 2층201호 (금호동1가,금호삼성래미안아파트)",2023-07-10,64,잔금납부,2,1,742,883,76,18,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/51380/685340.jpg
75,154,2022-52789(1),아파트,서울특별시,송파구,문정동,62-5,,5.0,507,문정연합주택조합아파트,"서울특별시 송파구 문정동 62-5 5층507호 (문정동,문정연합주택조합아파트)",2023-07-10,64,매각,2,939,600,727,78,1,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/52789/686439.jpg
76,155,2022-53713(1),아파트,서울특별시,송파구,잠실동,22,236동,7.0,701,리센츠,"서울특별시 송파구 잠실동 22 236동 7층701호 (잠실동,리센츠)",2023-07-10,80,잔금납부,1,2,1,2,92,7,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/53713/1403021.jpg
77,156,2022-1290(1),아파트,서울특별시,강남구,역삼동,664-21,101동,2.0,202,역삼동프라임아파트,"서울특별시 강남구 역삼동 664-21 101동 2층202호 (역삼동,역삼동프라임아파트)",2023-07-06,2,잔금납부,3,1,803,1,64,16,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/1290/34218_AUTO_152.jpg
78,157,2022-110286(1),아파트,서울특별시,서초구,잠원동,65-8,,1.0,101,잠원한신그린 아파트,"서울특별시 서초구 잠원동 65-8 1층101호 (잠원동,잠원한신그린 아파트)",2023-07-06,80,매각,1,2,1,1,81,1,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/110286/117019.jpg
79,158,2022-110873(1),아파트,서울특별시,서초구,방배동,478-8,,2.0,201,루이스캐슬,"서울특별시 서초구 방배동 478-8 2층201호 (방배동,루이스캐슬)",2023-07-06,64,잔금납부,2,1,832,845,65,1,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/110873/466286.jpg
80,159,2022-2527(1),아파트,서울특별시,영등포구,대림동,785-1,101동,11.0,1102,현대아파트,"서울특별시 영등포구 대림동 785-1 제101동 제11층 제1102호 (대림동, 현대아파트)",2023-07-06,64,잔금납부,2,898,574,691,77,9,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/2527/471638.jpg
81,160,2022-107729(1),아파트,서울특별시,영등포구,영등포동,7,107동,16.0,1605,경남아너스빌,"서울특별시 영등포구 영등포동7가 46-1 제107동 제16층 제1605호 (영등포동7가, 경남아너스빌)",2023-07-06,64,매각,2,197,126,133,68,1,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/107729/493535.jpg
82,161,2022-2643(1),아파트,서울특별시,노원구,중계동,502-1,101동,12.0,1212,중계그린아파트,"서울특별시 노원구 중계동 502-1 101동 12층 1212호 (중계동,중계그린아파트)",2023-07-05,64,잔금납부,2,630,403,483,77,8,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/2643/127113.jpg
83,162,2022-105948(1),아파트,서울특별시,성북구,길음동,1276,103동,5.0,502,삼부아파트,"서울특별시 성북구 길음동 1276 103동 5층502호 (길음동,삼부아파트)",2023-07-05,64,매각,2,974,623,646,66,1,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/105948/426478.jpg
84,163,2022-106774(1),아파트,서울특별시,도봉구,창동,805,102동,3.0,307,동아그린아파트,"서울특별시 도봉구 창동 805 102동 3층307호 (창동,동아그린아파트)",2023-07-05,64,매각,2,766,490,662,87,14,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/106774/126137.jpg
85,164,2021-111879(1),아파트,서울특별시,강남구,수서동,795,106동,2.0,205,강남데시앙포레,"서울특별시 강남구 수서동 795 106동 2층205호 (수서동,강남데시앙포레)",2023-07-04,64,매각,2,1,998,1,78,13,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2021/111879/190483.jpg
