cnt,title,description,org_link,link,pDate
150,"[N-포커스] 가계부채 다시 급증, 연체도 수직 상승… 韓 경제 부담 눈덩이","하향 안정세를 찾던 <b>부동산</b> 가격이 다시 상승 전환했고, 이를 위한 &apos;영끌&apos; 행태가 포착되는 등 강력한... 이 총재는 이어 &quot;지난해 미국의 실리콘밸리은행 사태를 기점으로 <b>부동산</b> 시장 경착륙을 우려해 <b>부동산</b> 규제... ",https://biz.newdaily.co.kr/site/data/html/2023/08/22/2023082200244.html,https://biz.newdaily.co.kr/site/data/html/2023/08/22/2023082200244.html,2023-08-22 17:36:00
151,"한국투자증권, 건축 IT플랫폼 &apos;하우빌드&apos;와 업무협약",한국투자증권은 초고액자산가 대상 <b>부동산</b>투자자문 서비스의 고도화를 위해 건축 IT 플랫폼 및... 이번 협약을 통해 한국투자증권 GWM(Global Wealth Management)은 합리적인 건축 설계와 공사관리를 통해 <b>부동산</b> 개발 자문... ,http://www.babytimes.co.kr/news/articleView.html?idxno=64353,http://www.babytimes.co.kr/news/articleView.html?idxno=64353,2023-08-22 17:36:00
152,"대형 증권사, 상반기 수익성 개선…삼성證 ROE &apos;최고&apos;",CJ CGV 전환사채(CB)와 해외 상업용 <b>부동산</b> 등 투자목적자산 평가손실을 반영하며 수익성이 악화한 것으로... 지난해 기업금융 등에서 우수한 성과를 거두며 호실적을 달성했으나 <b>부동산</b> 경기침체가 장기화하면서... ,http://www.upinews.kr/newsView/upi202308220068,http://www.upinews.kr/newsView/upi202308220068,2023-08-22 17:34:00
153,"인천경제청, &apos;송도 롯데몰&apos; 호텔사업 승인 2026년까지 재연장","롯데쇼핑은 지지부진한 사업 추진으로 올해 초 연수구청과의 세금 소송에도 휘말린 상태.연수구는 롯데쇼핑이 착공 신고를 한 뒤에도 실질적인 공사를 하지 않았다며 300억원대의 <b>부동산</b> 세금을 부과했지만, 롯데 측은... ",http://www.ifm.kr/news/367336,http://www.ifm.kr/news/367336,2023-08-22 17:32:00
154,정명섭 대구도시개발공사 사장 &apos;일회용품 제로(ZERO) 챌린지&apos; 동참,이번 일회용품 제로 챌린지는 자원절약과 환경보호를 위해 일회용품 사용을 줄이고 다회용품 사용을 늘리겠다는 각계 다짐을 SNS에 공유하는 환경부 주관 캠페인으로 정명섭 사장은 한국<b>부동산</b>원 손태락 원장으로부터... ,http://www.inews24.com/view/1625222,http://www.inews24.com/view/1625222,2023-08-22 17:31:00
155,다가오는 GTX 시대…수도권 주택시장 마중물 될까,한국<b>부동산</b>원이 발표한 ‘2023년 8월 2주 주간 아파트 가격 동향’에 따르면 경기도에선 성남 분당구와... 권일 <b>부동산</b>인포 팀장은 “파주나 동탄의 주택시세는 파주운정3지구 등 교통 및 개발호재가 있는 지역의... ,https://economist.co.kr/article/view/ecn202308220038,https://economist.co.kr/article/view/ecn202308220038,2023-08-22 17:31:00
156,中 <b>부동산</b> 위기 관건은 따로 있다?…“통화정책보다 시장심리 개선 시급” [투...,이번 중국 <b>부동산</b> 리스크는 중국 정부의 경기 부양책이 부족한 결과라기보다 시장 심리 자체가 나빠진 결과라는 얘기다. 중국 정부는 <b>부동산</b> 경기를 부양하겠다는 신호도 보낸 바가 있다. 지난 7월 정치국 회의에서... ,http://news.heraldcorp.com/view.php?ud=20230822000644,http://news.heraldcorp.com/view.php?ud=20230822000644,2023-08-22 17:30:00
157,"올림플래닛, 원티드랩과 취준생 교육지원 협업","올림플래닛은 SaaS형태의 3D가상공간 구축을 위한 인프라를 제공하는 메타버스 웹3D빌더 플랫폼(Metaverse Web 3D builder platform, ELYPECS) 엘리펙스로 <b>부동산</b>, 전시, 커머스, 미디어, 엔터테인먼트, 의료 등 다양한 분야에서 약... ",https://news.mtn.co.kr/news-detail/2023082217190287335,https://news.mtn.co.kr/news-detail/2023082217190287335,2023-08-22 17:30:00
158,사천시 &apos;<b>부동산</b>정보&apos; 적극 홍보 나서,사천시가 <b>부동산</b>정보시스템 적극 홍보에 나섰다. 이는 <b>부동산</b>을 구입하거나 건축물을 신축하는 경우 관련 <b>부동산</b>정보를 한눈에 확인할 수 있는 방법이 있음에도 잘 모르는 경우가 많기 때문이다. 시는 <b>부동산</b> 관련 다양한... ,http://www.gndomin.com/news/articleView.html?idxno=363320,http://www.gndomin.com/news/articleView.html?idxno=363320,2023-08-22 17:29:00
159,‘비수기’ 7월에도 서울 거래량 3000건 훌쩍… “강남4구만 웃는 중”,원인” <b>부동산</b> 거래 비수기라고 불리는 7월에도 서울 아파트 매매거래 건수가 3000건을 넘은 것으로 나타났다. 4개월 연속 3000건 돌파하면서 <b>부동산</b> 시장에 온기가 돌고 있다는 분석이 나오지만 강남4구 위주로... ,https://biz.chosun.com/real_estate/real_estate_general/2023/08/22/73CAOSV6YJHJHEILEVLKMCBYQM/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://biz.chosun.com/real_estate/real_estate_general/2023/08/22/73CAOSV6YJHJHEILEVLKMCBYQM/?utm_source=naver&utm_medium=original&utm_campaign=biz,2023-08-22 17:29:00
160,[경북시론] 최근 아파트 시장 일부 반등 어떻게 봐야 하나,이진우 <b>부동산</b>자산관리연구소 최근 지역에서도 아파트가격의 반등 소식이 들려오고 있다. 올 들어 수도권을 중심을 가격 회복이 되면서 시장의 반등에 대한 기대감이 나타나고 있는 가운데 지역에서도 8월에 접어들면서... ,http://www.kyongbuk.co.kr/news/articleView.html?idxno=2140224,http://www.kyongbuk.co.kr/news/articleView.html?idxno=2140224,2023-08-22 17:28:00
161,"KB국민은행, 유니세프와 &apos;유산기부 문화 확산&apos; 협약","KB위대한유산 기부신탁은 기부자가 금전, <b>부동산</b> 등 재산을 은행에 신탁해 생전에는 신탁재산을 관리하고 사후에는 신탁계약에 따라 학교, 병원, 구호단체 등의 기부처에 그 재산을 기부할 수 있는 상품이다. KB국민은행... ",http://www.pressman.kr/news/articleView.html?idxno=71323,http://www.pressman.kr/news/articleView.html?idxno=71323,2023-08-22 17:28:00
162,[아유경제_<b>부동산</b>] 서울시 오피스ㆍ사무실 매매량 1년 만에 상승,22일 <b>부동산</b>플래닛이 국토교통부 실거래가 자료(이달 1일 기준)를 분석한 결과 올해 2분기... <b>부동산</b>플래닛 관계자는 &quot;미국에 이어 중국까지 오피스시장의 불황을 좀처럼 벗어나지 못하고 있는 상황에서 국내는... ,http://www.areyou.co.kr/news/articleView.html?idxno=78418,http://www.areyou.co.kr/news/articleView.html?idxno=78418,2023-08-22 17:28:00
163,&quot;외국인 <b>부동산</b> 거래 까다로워져&quot;…<b>부동산</b> 거래신고법 개정안 시행,정부가 외국인의 국내 <b>부동산</b> 투기세력 유입을 막는 안전장치를 마련한 것이다. 국토교통부는 &apos;<b>부동산</b> 거래신고 등에 관한 법률(거래신고법)&apos; 시행령·시행규칙 개정안이 공포·시행된다고 22일 밝혔다. 앞서 지난해 10월... ,https://daily.hankooki.com/news/articleView.html?idxno=991398,https://daily.hankooki.com/news/articleView.html?idxno=991398,2023-08-22 17:28:00
164,"2분기 가계빚 1862조 넘어 3분기 만에 증가 전환, 주택담보대출 증가 영향",한국은행은 <b>부동산</b>시장이 회복될 것이라는 기대감에 주택거래가 활성화되면서 주택담보대출을 중심으로 가계신용을 늘어나 가계신용이 증가세로 돌아섰다고 설명했다. 2분기 가계대출 잔액은 1분기 대비... ,https://www.businesspost.co.kr/BP?command=article_view&num=325057,https://www.businesspost.co.kr/BP?command=article_view&num=325057,2023-08-22 17:26:00
165,[8/22 데일리안 퇴근길뉴스] 김남국 &apos;총선 불출마&apos; 선수 쳤다…윤리특위 소위...,주담대가 늘고 기타대출 감소 규모가 축소돼 4분기 만에 증가 전환했다. 상품별로 보면 주담대가 14조1000억원 늘어난 1031조2000억원으로 역대 최대 규모를 기록했다. 최근 <b>부동산</b> 시장 거래가 회복된 영향이다.,https://www.dailian.co.kr/news/view/1265619/?sc=Naver,https://www.dailian.co.kr/news/view/1265619/?sc=Naver,2023-08-22 17:26:00
166,높은 체감 물가로 인해 소비자 8월 경기 인식 악화,"<b>부동산</b> 경기 회복 기대에 주택가격전망지수는 5포인트(p) 올랐으며, 시중금리 상승 영향으로 금리전망지수도 6p 뛰었다. 22일 한국은행 8월 소비자 동향조사 결과에 따르면  소비자들의 경제 상황에 대한 심리를... ",http://www.jeollailbo.com/news/articleView.html?idxno=702666,http://www.jeollailbo.com/news/articleView.html?idxno=702666,2023-08-22 17:26:00
167,&apos;집값 바닥론&apos;에 주담대 역대 최대… 가계 빚 3분기만에 증가 전환(종합),<b>부동산</b> 시장이 회복세를 보이면서 주택담보대출 잔액이 역대 최대치를 기록한 영향이다. 우리 경제가 중국발 리스크 등 외풍에 흔들리는 상황에서 내부에서는 가계 빚 우려까지 더해지는 모습이다.22일 한국은행이... ,https://www.asiatoday.co.kr/view.php?key=20230822010011299,https://www.asiatoday.co.kr/view.php?key=20230822010011299,2023-08-22 17:26:00
168,추경호 &quot;특례보금자리론 제한적으로 공급했다&quot;,"추 부총리는 &quot;<b>부동산</b>이 갑자기 오르거나, 내리면 안 된다는 정책을 일관성 있게 가져갈 것이고 방만하게 수요를 예측하는 금융 완화적 조치가 있으면 안 된다&quot;면서 &quot;필요한 곳에 제대로 물량을 공급해야 한다&quot;고 강조했다.... ",http://www.inews24.com/view/1625244,http://www.inews24.com/view/1625244,2023-08-22 17:25:00
169,추경호 &quot;재정 녹록지 않아…빚 늘리는 모르핀 주사 안놓겠다&quot;(종합),중국 <b>부동산</b> 위기 등 대외 불확실성에도 하반기 수출 회복세 등을 예상하며 기존의 &apos;상저하고&apos; 경기 전망도... 중국 <b>부동산</b>시장 위기론의 국내 영향에 대해서는 당장 판단은 이르다고 답했다. 추 부총리는 &quot;중국은 세계... ,https://www.yna.co.kr/view/AKR20230822078851002?input=1195m,https://www.yna.co.kr/view/AKR20230822078851002?input=1195m,2023-08-22 17:24:00
170,"BDI 1223포인트…파나막스 시장, 한 달 만에 하락 전환",케이프 시장 &apos;부진&apos;…中 <b>부동산</b> 위기 고조 영향 8월21일 건화물선 운임지수(BDI)는 전일보다 14포인트... 중국의 철강 감산 기조가 완화될 것이라는 기대감과 <b>부동산</b> 위기론이 교차되면서 약세가 지속됐다.<b>부동산</b>... ,https://www.ksg.co.kr/news/main_newsView.jsp?pNum=139000,https://www.ksg.co.kr/news/main_newsView.jsp?pNum=139000,2023-08-22 17:24:00
171,“아파트값 오를 일만 남았다”...원자잿값 상승·LH사태에 민간 공급 전망도...,올랐다”며 “<b>부동산</b> 경기 침체가 여전해 일부 수도권 단지를 제외하곤 지방 단지 착공은 줄줄이 밀리고... 이미 <b>부동산</b> 경기 침체와 원가 상승으로 시장 불확실성이 커지자 민간 건설 수주 시장은 쪼그라들고... ,https://www.etoday.co.kr/news/view/2277068,https://www.etoday.co.kr/news/view/2277068,2023-08-22 17:24:00
172,부산지역 경제 침체 여파로 신설법인 수 8년 전으로 &apos;후퇴&apos;,"그 중에서도 금리인상, <b>부동산</b>시장 자금이탈, 미분양 증가 등으로 업황 부진을 겪고 있는 <b>부동산</b>업(△57.3%)과 건설 관련업(△37.0%)이 각각 큰 폭의 감소를 기록하면서 지역 창업시장의 부진에 있어 가장 큰 요인으로... ",https://www.ajunews.com/view/20230822165009857,https://www.ajunews.com/view/20230822165009857,2023-08-22 17:22:00
173,한강뷰 이어 청계천뷰 뜬다…청계SK뷰 특공 72.9대 1,22일 한국<b>부동산</b>원 청약홈에 따르면 지난 21일 진행된 서울 용답동 &apos;청계SK뷰&apos;의 특별공급은 51가구 모집에 모두 3720명이 지원했다. 평균 경쟁률만 72.9대 1로 올해 서울 특별공급 경쟁률 중 최고 수준이다. 경쟁률이... ,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202308221345406930827,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202308221345406930827,2023-08-22 17:22:00
174,"부산경찰, 전세사기 조직원 등 121명 검거",또 전세와 매매를 동시에 진행하는 이른바 &apos;동시진행 깡통전세&apos; 수법으로 보증금 122억 원을 챙긴 <b>부동산</b> 컨설팅업체 조직원 56명도 검거했습니다. 동시진행 깡통전세는 급매 주택을 신용불량자 명의로 이전한 뒤... ,https://news.knn.co.kr/news/article/144563,https://news.knn.co.kr/news/article/144563,2023-08-22 17:22:00
175,이창용 “향후 몇 년간 GDP 대비 가계부채 비율 100% 아래로”,이 총재는 “지난해 10월 이후 물가 때문에 금리를 올릴 수밖에 없는데 그 때문에 <b>부동산</b> 시장이 경착륙하면 금융위기가 올 수도 있었다”며 “이에 <b>부동산</b> 시장이 연착륙하도록 정부와 금융당국에서 미시적인 정책을... ,https://www.sedaily.com/NewsView/29TI9MHXDJ,https://www.sedaily.com/NewsView/29TI9MHXDJ,2023-08-22 17:21:00
176,"한국투자증권, 건축 IT플랫폼 &apos;하우빌드&apos;와 업무협약",한국투자증권은 초고액자산가 대상 <b>부동산</b>투자자문 서비스의 고도화를 위해 건축 IT 플랫폼 및... 이번 협약을 통해 한국투자증권 GWM(Global Wealth Management)은 합리적인 건축 설계와 공사관리를 통해 <b>부동산</b> 개발 자문... ,https://news.mtn.co.kr/news-detail/2023082217171042510,https://news.mtn.co.kr/news-detail/2023082217171042510,2023-08-22 17:20:00
177,대신증권 &quot;중국 <b>부동산</b> 위기의 본질은 민간 경제심리 악화&quot;,과연 중국 <b>부동산</b> 위기로 시작한 경기침체의 우려의 본질은 무엇일까? 이다은 대신증권 연구원은 22일 &quot;중국 경기 우려의 본질은 정부의 부양정책에도 민간 심리 개선이 없다는 점&quot;이라고 설명했다. 최근 중국 <b>부동산</b>... ,http://www.g-enews.com/ko-kr/news/article/news_all/202308221443136123edf69f862c_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/202308221443136123edf69f862c_1/article.html,2023-08-22 17:20:00
